project_slug,floor_slug,slug,code,rooms,type,status,totalNP,totalNKP,floorPlanImage,pdfFile,positionImage
city-garden-lamela-4,sprat-4,l4-stan-28,S28,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
city-garden-lamela-4,sprat-5,l4-stan-34,S34,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
city-garden-lamela-4,sprat-6,l4-stan-40,S40,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
city-garden-lamela-4,sprat-7,l4-stan-45,S45,2-sobni,Stan,slobodno,38.28,41.45,/images/projekti/city-garden-lamela-4/stanovi/s07.jpg,/pdfs/l4-s07.pdf,/images/projekti/city-garden-lamela-4/stanovi/s07-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-08,S08,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-15,S15,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-22,S22,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-4,l4-stan-29,S29,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-5,l4-stan-35,S35,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-6,l4-stan-41,S41,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-7,l4-stan-46,S46,3-sobni,Stan,slobodno,51.44,54.59,/images/projekti/city-garden-lamela-4/stanovi/s08.jpg,/pdfs/l4-s08.pdf,/images/projekti/city-garden-lamela-4/stanovi/s08-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-09,S09,2-sobni,Stan,slobodno,41.73,44.90,/images/projekti/city-garden-lamela-4/stanovi/s09.jpg,/pdfs/l4-s09.pdf,/images/projekti/city-garden-lamela-4/stanovi/s09-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-16,S16,2-sobni,Stan,slobodno,41.73,44.90,/images/projekti/city-garden-lamela-4/stanovi/s09.jpg,/pdfs/l4-s09.pdf,/images/projekti/city-garden-lamela-4/stanovi/s09-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-23,S23,2-sobni,Stan,slobodno,41.73,44.90,/images/projekti/city-garden-lamela-4/stanovi/s09.jpg,/pdfs/l4-s09.pdf,/images/projekti/city-garden-lamela-4/stanovi/s09-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-10,S10,2-sobni,Stan,slobodno,35.51,38.76,/images/projekti/city-garden-lamela-4/stanovi/s10.jpg,/pdfs/l4-s10.pdf,/images/projekti/city-garden-lamela-4/stanovi/s10-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-17,S17,2-sobni,Stan,slobodno,35.51,38.76,/images/projekti/city-garden-lamela-4/stanovi/s10.jpg,/pdfs/l4-s10.pdf,/images/projekti/city-garden-lamela-4/stanovi/s10-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-24,S24,2-sobni,Stan,slobodno,35.51,38.76,/images/projekti/city-garden-lamela-4/stanovi/s10.jpg,/pdfs/l4-s10.pdf,/images/projekti/city-garden-lamela-4/stanovi/s10-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-11,S11,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s11.jpg,/pdfs/l4-s11.pdf,/images/projekti/city-garden-lamela-4/stanovi/s11-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-18,S18,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s11.jpg,/pdfs/l4-s11.pdf,/images/projekti/city-garden-lamela-4/stanovi/s11-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-25,S25,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s11.jpg,/pdfs/l4-s11.pdf,/images/projekti/city-garden-lamela-4/stanovi/s11-pozicija.jpg
city-garden-lamela-4,sprat-1,l4-stan-12,S12,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s12.jpg,/pdfs/l4-s12.pdf,/images/projekti/city-garden-lamela-4/stanovi/s12-pozicija.jpg
city-garden-lamela-4,sprat-2,l4-stan-19,S19,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s12.jpg,/pdfs/l4-s12.pdf,/images/projekti/city-garden-lamela-4/stanovi/s12-pozicija.jpg
city-garden-lamela-4,sprat-3,l4-stan-26,S26,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s12.jpg,/pdfs/l4-s12.pdf,/images/projekti/city-garden-lamela-4/stanovi/s12-pozicija.jpg
city-garden-lamela-4,sprat-4,l4-stan-32,S32,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s12.jpg,/pdfs/l4-s12.pdf,/images/projekti/city-garden-lamela-4/stanovi/s12-pozicija.jpg
city-garden-lamela-4,sprat-5,l4-stan-38,S38,2-sobni,Stan,slobodno,40.65,44.05,/images/projekti/city-garden-lamela-4/stanovi/s12.jpg,/pdfs/l4-s12.pdf,/images/projekti/city-garden-lamela-4/stanovi/s12-pozicija.jpg
